Business_name,latitude,longitude,category,lifeline_num,lifeline_name,Source
Navarre Funeral Home Inc,29.7612203,-94.9852151,cremationservices,3,Health and medical,Google
Dignity,29.6084255,-95.6110339,cremationservices,3,Health and medical,Google
Dignity Memorial,29.8112596,-95.4400257,cremationservices,3,Health and medical,Google
Memorial Oaks Funeral Home & Cemetery,29.7812618,-95.6159217,cremationservices,3,Health and medical,Google
Dignity Memorial,29.7606357,-95.3868942,cremationservices,3,Health and medical,Google
United Way of Greater Houston,29.7669438,-95.3984916,cremationservices,3,Health and medical,Google
Fuel Distributors Inc,30.032566,-95.534639,Fuel supplier,4,"Energy (Power, Fule, etc.)",Google
"Sun Coast Resources, Inc.",29.8019436,-95.3045223,Fuel supplier,4,"Energy (Power, Fule, etc.)",Google
Atlantic Petroleum,29.8123007,-95.4277777,Fuel supplier,4,"Energy (Power, Fule, etc.)",Google
PE Fuels International,29.7372033,-95.4613183,Fuel supplier,4,"Energy (Power, Fule, etc.)",Google
Lazer Energy Co Inc,29.6270932,-95.259017,Fuel supplier,4,"Energy (Power, Fule, etc.)",Google
Rhino Fuel,29.6738524,-95.4127331,Fuel supplier,4,"Energy (Power, Fule, etc.)",Google
Moffitt Services,29.9592491,-95.7113611,Fuel supplier,4,"Energy (Power, Fule, etc.)",Google
Unity Fuel Solutions (USA),29.7836993,-95.5781789,Fuel supplier,4,"Energy (Power, Fule, etc.)",Google
Apache Oil Company,29.6649822,-95.164305,Fuel supplier,4,"Energy (Power, Fule, etc.)",Google
Arguindegui Oil Company,29.9561773,-95.3636606,Fuel supplier,4,"Energy (Power, Fule, etc.)",Google
Sundance Fuels & Lubricants,30.0897998,-95.4189376,Fuel supplier,4,"Energy (Power, Fule, etc.)",Google
Backcourt Fuels,29.7783227,-95.5636819,Fuel supplier,4,"Energy (Power, Fule, etc.)",Google
World Fuel Services,29.7451163,-95.6195112,Fuel supplier,4,"Energy (Power, Fule, etc.)",Google
